date,自營商buy,自營商sell,自營商total,自營商避險buy,自營商避險sell,自營商避險total,投信buy,投信sell,投信total,外資buy,外資sell,外資total,外資自營商buy,外資自營商sell,外資自營商total,總buy,總sell,總total
2019-02-27,"1,256,789,150","2,371,797,421","-1,115,008,271","4,619,958,278","4,835,038,424","-215,080,146","1,185,997,700","2,597,646,310","-1,411,648,610","54,734,752,978","50,210,601,663","4,524,151,315","14,397,910","3,860,000","10,537,910","61,797,498,106","60,015,083,818","1,782,414,288"
2019-02-26,"1,736,581,740","2,000,120,160","-263,538,420","7,748,271,507","7,918,310,929","-170,039,422","1,452,812,320","1,805,380,243","-352,567,923","37,471,671,139","32,640,378,936","4,831,292,203","5,196,700","15,900,350","-10,703,650","48,409,336,706","44,364,190,268","4,045,146,438"
2019-02-25,"1,412,970,290","1,531,376,879","-118,406,589","8,580,485,786","5,407,575,899","3,172,909,887","1,767,160,710","1,260,709,627","506,451,083","38,983,511,475","26,598,599,007","12,384,912,468","10,879,690","3,781,300","7,098,390","50,744,128,261","34,798,261,412","15,945,866,849"
2019-02-22,"1,383,379,020","1,406,306,165","-22,927,145","4,307,428,219","5,003,318,405","-695,890,186","1,232,304,320","1,517,598,417","-285,294,097","29,228,374,265","27,948,842,277","1,279,531,988","5,767,020","9,321,100","-3,554,080","36,151,485,824","35,876,065,264","275,420,560"
2019-02-21,"1,594,642,000","1,123,210,990","471,431,010","5,299,307,098","5,033,037,989","266,269,109","1,080,770,050","1,430,696,310","-349,926,260","33,468,571,210","28,620,454,037","4,848,117,173","10,852,390","5,059,760","5,792,630","41,443,290,358","36,207,399,326","5,235,891,032"
2019-02-20,"2,438,382,170","1,937,754,532","500,627,638","5,801,628,152","5,483,406,103","318,222,049","1,732,503,266","1,810,680,719","-78,177,453","40,373,861,952","29,530,296,588","10,843,565,364","6,221,930","12,866,500","-6,644,570","50,346,375,540","38,762,137,942","11,584,237,598"
2019-02-19,"1,560,235,990","1,151,874,270","408,361,720","6,023,503,375","4,601,769,832","1,421,733,543","1,558,665,860","1,024,364,038","534,301,822","23,807,535,105","22,353,029,334","1,454,505,771","3,546,940","6,201,660","-2,654,720","32,949,940,330","29,131,037,474","3,818,902,856"
2019-02-18,"1,351,131,870","1,351,429,020","-297,150","5,345,737,195","3,888,115,315","1,457,621,880","1,083,866,390","1,019,164,646","64,701,744","28,274,754,000","23,298,394,837","4,976,359,163","7,433,730","4,018,020","3,415,710","36,055,489,455","29,557,103,818","6,498,385,637"
2019-02-15,"1,497,894,750","1,908,308,301","-410,413,551","4,475,935,450","4,802,036,435","-326,100,985","1,361,615,160","1,539,183,864","-177,568,704","27,445,001,029","32,676,126,012","-5,231,124,983","10,580,230","7,406,710","3,173,520","34,780,446,389","40,925,654,612","-6,145,208,223"
2019-02-14,"1,669,023,340","1,310,698,860","358,324,480","5,957,513,762","4,162,350,381","1,795,163,381","1,503,793,780","1,293,344,860","210,448,920","30,786,364,349","31,638,982,288","-852,617,939","4,006,910","9,376,060","-5,369,150","39,916,695,231","38,405,376,389","1,511,318,842"
2019-02-13,"2,024,075,180","1,779,377,890","244,697,290","5,833,538,826","5,109,056,267","724,482,559","1,628,699,380","1,975,894,523","-347,195,143","39,030,180,771","35,636,464,348","3,393,716,423","7,246,590","3,342,680","3,903,910","48,516,494,157","44,500,793,028","4,015,701,129"
2019-02-12,"2,140,568,030","1,540,206,614","600,361,416","5,879,543,846","4,319,427,051","1,560,116,795","1,749,874,074","1,757,047,850","-7,173,776","41,631,884,040","32,410,144,401","9,221,739,639","8,003,650","6,569,090","1,434,560","51,401,869,990","40,026,825,916","11,375,044,074"
2019-02-11,"1,781,869,260","1,021,280,583","760,588,677","5,956,394,328","4,795,876,334","1,160,517,994","1,313,805,250","1,500,215,590","-186,410,340","61,937,690,274","48,888,935,649","13,048,754,625","1,205,510","8,808,620","-7,603,110","70,989,759,112","56,206,308,156","14,783,450,956"
2019-01-30,"1,370,672,640","1,250,041,435","120,631,205","3,067,549,035","2,785,626,691","281,922,344","1,459,280,400","1,215,320,075","243,960,325","40,467,189,322","39,653,812,720","813,376,602","1,707,380","1,286,080","421,300","46,364,691,397","44,904,800,921","1,459,890,476"
2019-01-29,"1,014,227,260","1,463,802,809","-449,575,549","3,322,424,237","3,695,082,239","-372,658,002","1,133,800,140","1,591,069,953","-457,269,813","33,094,925,734","34,849,800,099","-1,754,874,365","5,129,310","666,460","4,462,850","38,565,377,371","41,599,755,100","-3,034,377,729"
