日期,八大行庫買賣超金額,台指期
2020/08/26,-313235.788,12792
2020/08/25,-1729316.777,12737
2020/08/24,-65244.557,12604
2020/08/21,-1650151.816,12543
2020/08/20,5686653.421,12305
2020/08/19,353478.716,12806
2020/08/18,1313562.634,12875
2020/08/17,251251.005,12955
2020/08/14,-749459.391,12788
2020/08/13,509704.134,12723
2020/08/12,2070485.697,12655
2020/08/11,1982784.867,12737
2020/08/10,-613680.758,12855
2020/08/07,3182963.161,12763
2020/08/06,518441.838,12835
2020/08/05,-866816.943,12744
2020/08/04,-1175710.662,12629
2020/08/03,4737872.442,12443
2020/07/31,1070295.798,12577
2020/07/30,-209730.623,12596
2020/07/29,398914.19,12423
2020/07/28,3384002.747,12457
2020/07/27,-185600.158,12503
2020/07/24,664039.327,12150
2020/07/23,232591.483,12288
2020/07/22,548273.928,12331
2020/07/21,-2584231.725,12289
2020/07/20,293254.838,12031
2020/07/17,2675094.821,12039
2020/07/16,1380999.271,12032
2020/07/15,-1509080.502,12220
2020/07/14,2482913.328,12188
2020/07/13,-1464576.812,12205
2020/07/10,822591.363,11999
2020/07/09,815227.125,12147
2020/07/08,-561618.02,12125
2020/07/07,592509.172,12027
2020/07/06,-421279.56,12065
2020/07/03,-3520642.14,11838
2020/07/02,-1226381.681,11695
2020/07/01,84765.392,11546
2020/06/30,-203947.528,11469
2020/06/29,1974403.528,11361
2020/06/24,-225499.661,11523
2020/06/23,336969.332,11455
2020/06/22,-217363.846,11423
2020/06/19,1864064.312,11410
2020/06/18,-300717.748,11394
2020/06/17,-386509.94,11521
2020/06/16,-4398023.085,11526
2020/06/15,350667.709,11229
2020/06/12,-1795633.081,11395
2020/06/11,761548.343,11491
2020/06/10,-1636877.26,11706
2020/06/09,39793.871,11609
2020/06/08,-1277871.649,11570
2020/06/05,-1182897.249,11457
2020/06/04,122894.87,11357
2020/06/03,-3754522.502,11283
2020/06/02,113767.069,11106
2020/06/01,-2672661.025,11057
2020/05/29,1225681.641,10922
2020/05/28,2012458.322,10907
2020/05/27,459935.108,10972
2020/05/26,-2746069.363,10984
2020/05/25,-361282.273,10817
2020/05/22,339707.576,10743
2020/05/21,-307883.957,10952
2020/05/20,-261625.937,10887
2020/05/19,-2068143.039,10872
2020/05/18,1809457.827,10763
2020/05/15,434378.453,10818
2020/05/14,4535444.128,10750
2020/05/13,1777446.456,10915
2020/05/12,5020690.646,10865
2020/05/11,264971.616,10983
2020/05/08,405055.025,10896
2020/05/07,549566.144,10833
2020/05/06,347975.98,10750
2020/05/05,2433065.289,10725
2020/05/04,8487022.892,10615
2020/04/30,-3847794.691,10944
2020/04/29,-3487554.951,10707
2020/04/28,-25556.564,10582
2020/04/27,-58842.483,10547
2020/04/24,1314448.922,10270
2020/04/23,1135287.201,10292
2020/04/22,160841.305,10225
2020/04/21,5584462.521,10198
2020/04/20,35137.452,10476
2020/04/17,465054.706,10561
2020/04/16,2985420.7,10302
2020/04/15,558600.858,10450
2020/04/14,-107911.742,10346
2020/04/13,2555141.492,10073
2020/04/10,66016.319,10133
2020/04/09,3342925.329,10101
2020/04/08,1154186.942,10127
2020/04/07,873242.814,9997
2020/04/06,-1692606.451,9826
2020/04/01,588312.312,9552
2020/03/31,1651304.256,9596
2020/03/30,972322.709,9576
2020/03/27,2354024.277,9583
2020/03/26,-183531.066,9638
2020/03/25,88325.325,9583
2020/03/24,-336933.906,9193
2020/03/23,3536639.106,8688
2020/03/20,222665.716,9013
2020/03/19,6085653.463,8353
2020/03/18,5336455.175,9263
2020/03/17,2967558.36,9363
2020/03/16,6649647.96,9668
2020/03/13,4060473.22,10021
2020/03/12,7394937.631,10367
2020/03/11,4916079.689,10821
2020/03/10,-1243491.795,10984
2020/03/09,9054600.958,10950
2020/03/06,207998.312,11269
2020/03/05,-596149.164,11492
