日期,自oi多方期貨口數,自oi多方選擇權口數,自oi多方期貨契約金額,自oi多方選擇權契約金額,自oi空方期貨口數,自oi空方選擇權口數,自oi空方期貨契約金額,自oi空方選擇權契約金額,自oi多空淨額期貨口數,自oi多空淨額選擇權口數,自oi多空淨額期貨契約金額,自oi多空淨額選擇權契約金額,投oi多方期貨口數,投oi多方選擇權口數,投oi多方期貨契約金額,投oi多方選擇權契約金額,投oi空方期貨口數,投oi空方選擇權口數,投oi空方期貨契約金額,投oi空方選擇權契約金額,投oi多空淨額期貨口數,投oi多空淨額選擇權口數,投oi多空淨額期貨契約金額,投oi多空淨額選擇權契約金額,外oi多方期貨口數,外oi多方選擇權口數,外oi多方期貨契約金額,外oi多方選擇權契約金額,外oi空方期貨口數,外oi空方選擇權口數,外oi空方期貨契約金額,外oi空方選擇權契約金額,外oi多空淨額期貨口數,外oi多空淨額選擇權口數,外oi多空淨額期貨契約金額,外oi多空淨額選擇權契約金額
2020-08-27,64312,139455,68420146,976625,102026,112401,40698040,926638,-37714,27054,27722106,49987,6318,111,13790908,1012,42193,2688,102384809,11492,-35875,-2577,-88593901,-10480,95982,73304,161935452,774034,106770,69521,95345674,653178,-10788,3783,66589778,120856
2020-08-26,65035,119205,67946963,951584,99600,88733,40472412,864642,-34565,30472,27474551,86942,8091,111,14366673,964,43087,2688,103664082,12501,-34996,-2577,-89297409,-11537,95718,64612,162114946,740443,106538,63965,95827868,642622,-10820,647,66287078,97821
2020-08-25,66022,194120,71152341,1146882,100597,154577,43585256,1057078,-34575,39543,27567085,89804,8204,112,14450444,1050,43315,2688,103762793,12720,-35111,-2576,-89312349,-11670,94205,81855,159598397,791761,108539,78193,99067410,708269,-14334,3662,60530987,83492
2020-08-24,65116,154637,70192782,1018206,98155,133231,40768603,930883,-33039,21406,29424179,87323,8123,112,14102022,1417,43979,1488,104368418,8297,-35856,-1376,-90266396,-6880,91716,80032,152383356,734358,104203,75577,92327724,645199,-12487,4455,60055632,89159
2020-08-21,64117,145015,69791461,1048908,95684,139342,38250977,989904,-31567,5673,31540484,59004,8253,112,14350248,1696,44178,88,104438541,361,-35925,24,-90088293,1335,89424,75326,150277672,742949,103117,69333,94653095,633286,-13693,5993,55624577,109663
2020-08-20,63006,119951,70324672,1048678,94489,142839,36332825,1120235,-31483,-22888,33991847,-71557,8196,112,13912768,2809,45525,88,105644499,250,-37329,24,-91731731,2559,84005,56558,140738944,741779,114675,64138,110666558,666850,-30670,-7580,30072386,74929
2020-08-19,56335,98640,64224926,808088,92477,81119,35459520,770950,-36142,17521,28765406,37138,8178,112,14368464,1183,41814,42,100051981,302,-33636,70,-85683517,881,77433,41872,138908090,651850,102491,52095,99612331,577211,-25058,-10223,39295759,74639
2020-08-18,81665,200158,78978532,1596337,134679,171981,51202451,1252581,-53014,28177,27776081,343756,10386,114,14532454,915,41355,743,99526262,12753,-30969,-629,-84993808,-11838,105955,93794,166454904,1023589,124744,132216,114768475,1393765,-18789,-38422,51686429,-370176
2020-08-17,81078,195752,82349550,1723125,133540,146472,57411117,1285304,-52462,49280,24938433,437821,10375,63,14595332,95,41080,742,99462888,15584,-30705,-679,-84867556,-15489,112690,94051,177345411,1121701,122406,128447,113688360,1529943,-9716,-34396,63657051,-408242
2020-08-14,78306,177005,75683699,1444864,126850,153577,48166413,1207092,-48544,23428,27517286,237772,10355,64,14365664,50,41895,743,100480128,10740,-31540,-679,-86114464,-10690,110478,96721,170515464,999126,123233,125844,113137234,1292100,-12755,-29123,57378230,-292974
