日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2020/08/27,272945,281090,97.1,233440,176729,132.09
2020/08/26,424532,400757,105.93,181515,130119,139.5
2020/08/25,415394,376074,110.46,318583,245899,129.56
2020/08/24,309570,270736,114.34,270205,233770,115.59
2020/08/21,328783,336705,97.65,239966,221316,108.43
2020/08/20,407851,444664,91.72,188636,209410,90.08
2020/08/19,539459,578589,93.24,134869,107245,125.76
2020/08/18,394644,416247,94.81,365563,271756,134.52
2020/08/17,341114,280526,121.6,342858,244710,140.11
2020/08/14,256828,252733,101.62,309134,252920,122.23
2020/08/13,237604,252796,93.99,274436,234233,117.16
2020/08/12,587052,620404,94.62,239106,197014,121.36
2020/08/11,368080,364984,100.85,360303,293041,122.95
2020/08/10,317554,281282,112.9,348627,266508,130.81
2020/08/07,262537,261740,100.3,310614,250594,123.95
2020/08/06,329438,324143,101.63,284516,218123,130.44
2020/08/05,525797,515502,102.0,215194,170109,126.5
2020/08/04,450126,388958,115.73,326030,257829,126.45
2020/08/03,333973,367143,90.97,305871,269236,113.61
2020/07/31,309666,273972,113.03,274036,217781,125.83
2020/07/30,263661,292897,90.02,250418,194653,128.65
2020/07/29,768314,720190,106.68,192105,150132,127.96
2020/07/28,854770,881062,97.02,325544,253631,128.35
2020/07/27,492923,462299,106.62,309595,213243,145.18
2020/07/24,391475,409702,95.55,235235,221269,106.31
2020/07/23,247969,247605,100.15,205884,187805,109.63
2020/07/22,579165,598690,96.74,153648,130019,118.17
2020/07/21,564798,482236,117.12,302777,204450,148.09
2020/07/20,315793,293656,107.54,232617,205111,113.41
2020/07/17,285334,261091,109.29,197010,177658,110.89
2020/07/16,244460,270253,90.46,168624,155244,108.62
2020/07/15,671717,678408,99.01,119900,94618,126.72
2020/07/14,468665,431541,108.6,386423,268797,143.76
2020/07/13,353697,293348,120.57,350000,239687,146.02
2020/07/10,327980,336679,97.42,299149,232800,128.5
2020/07/09,228122,242281,94.16,273637,201317,135.92
2020/07/08,565496,512856,110.26,228969,165081,138.7
2020/07/07,498983,508997,98.03,370122,264473,139.95
2020/07/06,425312,390729,108.85,340996,242584,140.57
2020/07/03,323409,324498,99.66,288347,217507,132.57
2020/07/02,266829,249194,107.08,245622,194791,126.1
2020/07/01,512748,452593,113.29,182966,150841,121.3
2020/06/30,342560,289225,118.44,262541,217621,120.64
2020/06/29,341353,331145,103.08,223324,213236,104.73
2020/06/24,470925,421711,111.67,163447,134588,121.44
2020/06/23,422256,362646,116.44,262502,220497,119.05
2020/06/22,331768,276733,119.89,242282,195230,124.1
2020/06/19,205075,208134,98.53,195086,167684,116.34
2020/06/18,244369,225432,108.4,168134,149831,112.22
2020/06/17,617781,630704,97.95,111768,106249,105.19
2020/06/16,538546,469816,114.63,537314,322477,166.62
2020/06/15,431557,444317,97.13,484505,329765,146.92
2020/06/12,422273,364062,115.99,467813,300715,155.57
2020/06/11,344805,341373,101.01,434781,264812,164.18
2020/06/10,519966,497802,104.45,403023,210046,191.87
2020/06/09,346782,318808,108.77,504573,297264,169.74
2020/06/08,435104,430604,101.05,486523,279715,173.94
2020/06/05,264350,224659,117.67,434480,250658,173.34
2020/06/04,275679,289248,95.31,405718,231758,175.06
2020/06/03,557518,545225,102.25,359978,186838,192.67
2020/06/02,338023,287506,117.57,465118,272311,170.8
2020/06/01,329732,287768,114.58,439673,250730,175.36
2020/05/29,270930,258370,104.86,391756,243740,160.73
2020/05/28,299001,297750,100.42,366123,219757,166.6
2020/05/27,473214,442943,106.83,322419,168733,191.08
2020/05/26,393976,385004,102.33,430250,242266,177.59
2020/05/25,393144,356598,110.25,388124,250072,155.2
2020/05/22,311301,333536,93.33,347194,225400,154.03
2020/05/21,244307,238671,102.36,325521,172751,188.43
2020/05/20,488115,524102,93.13,266679,123206,216.45
2020/05/19,452572,489132,92.53,485910,329696,147.38
2020/05/18,349777,329458,106.17,459906,334346,137.55
2020/05/15,351565,365988,96.06,440267,306455,143.66
2020/05/14,293168,284660,102.99,414416,281990,146.96
2020/05/13,524955,438971,119.59,386511,232169,166.48
2020/05/12,400859,401151,99.93,464832,316938,146.66
2020/05/11,302051,246949,122.31,455745,286788,158.91
2020/05/08,223211,209125,106.74,423096,261463,161.82
2020/05/07,232072,214020,108.43,397618,244738,162.47
2020/05/06,562116,499774,112.47,359071,210886,170.27
2020/05/05,386776,342395,112.96,448108,284546,157.48
2020/05/04,383031,361164,106.05,414492,269540,153.78
2020/04/30,283787,265025,107.08,392502,211115,185.92
2020/04/29,566902,491526,115.34,337143,180904,186.37
2020/04/28,336685,280336,120.1,439072,245518,178.83
2020/04/27,407523,265383,153.56,423059,225117,187.93
2020/04/24,208463,185817,112.19,365516,219507,166.52
2020/04/23,261342,271249,96.35,340746,202625,168.17
2020/04/22,644770,602264,107.06,297000,164914,180.09
2020/04/21,520759,519629,100.22,378952,277298,136.66
2020/04/20,229022,248730,92.08,369257,230417,160.26
2020/04/17,397789,401785,99.01,352410,195723,180.06
2020/04/16,223655,206317,108.4,308057,168670,182.64
2020/04/15,560902,576079,97.37,256418,123474,207.67
2020/04/14,493414,391711,125.96,531040,277680,191.24
2020/04/13,223910,207353,107.98,471971,282674,166.97
2020/04/10,216989,180812,120.01,457455,263461,173.63
2020/04/09,284154,257290,110.44,434077,245082,177.12
2020/04/08,702604,680084,103.31,400367,216520,184.91
2020/04/07,437830,346389,126.4,485157,280107,173.2
2020/04/06,382392,312512,122.36,439277,256029,171.57
