日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2020/08/27,29.351,4.266931,1.18305,105.995,1.3208,0.72405,7.75035,6.8787,16.869,0.6626
2020/08/26,29.356,4.254624,1.1813,106.38,1.3134,0.7196,7.75005,6.8998,16.80885,0.6553
2020/08/25,29.361,4.25068,1.18075,105.995,1.30985,0.71715,7.75025,6.90735,16.92665,0.6527
2020/08/24,29.373,4.2482169999999995,1.1796,105.885,1.30935,0.71665,7.75025,6.9142,17.11585,0.65305
2020/08/21,29.381,4.258805000000001,1.18785,105.575,1.32425,0.72045,7.75015,6.8989,17.2272,0.65445
2020/08/20,29.4,4.248565,1.1838,106.085,1.30875,0.71755,7.75005,6.92,17.2839,0.6556
2020/08/19,29.39,4.251293,1.1939,105.575,1.3246,0.72495,7.7501,6.9132,17.3276,0.66185
2020/08/18,29.4,4.245948,1.1893,105.635,1.31365,0.72255,7.75015,6.92425,17.49785,0.6549
2020/08/17,29.398000000000003,4.238368,1.18565,106.575,1.30885,0.71785,7.75035,6.93615,17.36015,0.6534
2020/08/14,29.412,4.23621,1.18185,106.85,1.3067,0.7155,7.7502,6.943,17.41415,0.65385
2020/08/13,29.41,4.238246,1.1814,106.705,1.3068,0.7172,7.75035,6.9392,17.477,0.657
2020/08/12,29.41,4.23107,1.1718,106.755,1.30245,0.71155,7.75085,6.95095,17.5708,0.6544
2020/08/11,29.395,4.231822,1.1752,106.115,1.3087,0.7181,7.75015,6.9462,17.62635,0.66195
2020/08/10,29.378,4.217388,1.17915,105.775,1.30695,0.71645,7.75035,6.9659,17.6062,0.66075
2020/08/07,29.384,4.218630999999999,1.1838,105.565,1.31215,0.72045,7.7503,6.9653,17.5198,0.667
2020/08/06,29.353,4.229914,1.18855,105.515,1.31355,0.72055,7.75015,6.9394,17.32335,0.6645
2020/08/05,29.36,4.219619000000001,1.1812,105.595,1.30915,0.71865,7.75035,6.95795,17.333,0.6643
2020/08/04,29.42,4.212915,1.17685,106.095,1.30695,0.71215,7.7501,6.9833,17.2012,0.66095
2020/08/03,29.372,4.209243,1.17675,105.855,1.30865,0.71415,7.7503,6.978,17.0602,0.664
2020/07/31,29.55,4.225708999999999,1.1896,104.255,1.31355,0.72185,7.75005,6.9929,16.748,0.67075
2020/07/30,29.304000000000002,4.183644,1.1763,105.255,1.29605,0.71565,7.75015,7.0044,16.64425,0.66315
2020/07/29,29.32,4.186134,1.173,105.055,1.2922,0.7165,7.75035,7.0041,16.49585,0.6656
2020/07/28,29.42,4.197998999999999,1.17255,105.605,1.28465,0.71315,7.75075,7.0081,16.4786,0.66515
2020/07/27,29.38,4.194289,1.1698,105.645,1.2829,0.71305,7.75195,7.00475,16.61045,0.6674
2020/07/24,29.445999999999998,4.1904010000000005,1.15915,106.465,1.27265,0.70765,7.75195,7.027,16.72865,0.6621
2020/07/23,29.42,4.20147,1.15845,107.165,1.27435,0.71555,7.75175,7.0023,16.46425,0.6681
2020/07/22,29.41,4.219276,1.1543,106.805,1.27235,0.71465,7.75105,6.9704,16.3968,0.6653
2020/07/21,29.424,4.207014,1.1432,107.315,1.26615,0.70205,7.75115,6.99405,16.6401,0.6559999999999999
2020/07/20,29.5,4.221893,1.14435,107.265,1.25395,0.6988,7.75315,6.9874,16.73995,0.65545
2020/07/17,29.49,4.213148,1.1384,107.185,1.2564,0.69885,7.75325,6.9995,16.72585,0.6547
2020/07/16,29.47,4.210438,1.13995,106.925,1.25475,0.69865,7.75265,6.99925,16.6638,0.65575
