日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
2020-08-27,7580433259,216629000442,"1,771,599",12797.31,-35.98
2020-08-26,5863537123,176627986550,"1,516,823",12833.29,75.04
2020-08-25,6632116690,198984271183,"1,679,390",12758.25,111.12
2020-08-24,5957177395,204861806934,"1,598,641",12647.13,39.29
2020-08-21,6604000494,225669198415,"1,825,365",12607.84,245.2
2020-08-20,10761149962,347795318807,"2,845,236",12362.64,-416.0
2020-08-19,7185673935,254582422620,"2,119,149",12778.64,-93.5
2020-08-18,6813075420,247267898972,"1,863,660",12872.14,-83.97
2020-08-17,7356678342,222355243724,"1,899,982",12956.11,160.65
2020-08-14,6378690103,213411307786,"1,740,236",12795.46,32.33
2020-08-13,6149000588,236994312160,"1,775,603",12763.13,92.78
2020-08-12,6321849950,216800780143,"1,678,660",12670.35,-109.84
2020-08-11,6368853937,206359059040,"1,686,663",12780.19,-113.81
2020-08-10,6568744394,215730768944,"1,723,764",12894.0,65.13
2020-08-07,6445801759,238960842602,"1,790,733",12828.87,-84.63
2020-08-06,7213921919,260160570419,"1,932,182",12913.5,111.2
2020-08-05,7025389482,239831463467,"1,816,586",12802.3,92.38
2020-08-04,6137318887,212361323327,"1,597,873",12709.92,196.89
2020-08-03,5824257577,232285951334,"1,595,151",12513.03,-151.77
2020-07-31,5929238802,208782026580,"1,422,233",12664.8,-58.12
2020-07-30,5872254873,214624455642,"1,489,284",12722.92,181.95
2020-07-29,5875908137,218723278251,"1,504,170",12540.97,-45.76
2020-07-28,7714228366,344378360590,"2,065,984",12586.73,-1.57
2020-07-27,6477146220,253381460647,"1,697,960",12588.3,284.26
2020-07-24,7256556893,265626913726,"1,868,814",12304.04,-109.0
2020-07-23,6554596345,226452965087,"1,573,072",12413.04,-60.23
2020-07-22,6470174930,225532751937,"1,619,251",12473.27,75.72
2020-07-21,6769602219,224518494085,"1,684,726",12397.55,223.01
2020-07-20,5309172162,174965121166,"1,378,104",12174.54,-7.02
2020-07-17,5932181019,199638169276,"1,595,696",12181.56,23.82
2020-07-16,5758418765,198331098712,"1,466,883",12157.74,-45.11
2020-07-15,6746707156,239325053401,"1,778,628",12202.85,-6.16
2020-07-14,6151483479,203827529560,"1,561,046",12209.01,-2.55
2020-07-13,6129965276,210135099950,"1,586,121",12211.56,137.88
2020-07-10,6996287933,259305673867,"1,983,041",12073.68,-119.01
2020-07-09,6614201925,250204811339,"1,866,048",12192.69,22.5
2020-07-08,6324959201,238275080966,"1,754,938",12170.19,77.22
2020-07-07,7615169729,275442508052,"1,994,878",12092.97,-23.73
2020-07-06,7865943219,249461563575,"1,951,293",12116.7,207.54
2020-07-03,6472933090,217000091763,"1,666,654",11909.16,104.02
2020-07-02,6059434206,188994059753,"1,487,449",11805.14,101.72
2020-07-01,5804865202,192757354719,"1,471,739",11703.42,82.18
2020-06-30,5231522655,195698180405,"1,366,691",11621.24,78.62
2020-06-29,5460382601,207126523707,"1,429,022",11542.62,-118.05
2020-06-24,5065877514,201898317551,"1,369,564",11660.67,48.31
2020-06-23,5707523485,204814447900,"1,458,445",11612.36,39.43
2020-06-22,5073106638,182755366694,"1,414,706",11572.93,23.07
2020-06-19,6775765985,250896043586,"1,774,955",11549.86,1.53
2020-06-18,5566563626,183072063691,"1,539,459",11548.33,13.74
2020-06-17,5423838580,174696124700,"1,540,830",11534.59,22.95
2020-06-16,5525909792,180970441334,"1,437,245",11511.64,205.38
2020-06-15,5522029240,175499328624,"1,512,261",11306.26,-123.68
2020-06-12,6813774261,197598391296,"1,668,232",11429.94,-105.83
2020-06-11,7111684168,239327808585,"2,013,765",11535.77,-184.39
2020-06-10,5625828981,191956930344,"1,545,108",11720.16,83.05
2020-06-09,5177011975,175551998760,"1,444,554",11637.11,26.79
2020-06-08,6425750934,204483479878,"1,702,229",11610.32,130.92
2020-06-05,5782637500,181156372573,"1,522,634",11479.4,86.17
2020-06-04,5944102520,203655766408,"1,550,402",11393.23,73.07
2020-06-03,6431206610,214594995112,"1,670,723",11320.16,192.23
2020-06-02,4974734421,182409278902,"1,399,684",11127.93,48.91
2020-06-01,4975164301,169563746947,"1,350,613",11079.02,136.86
2020-05-29,5508327470,215603913046,"1,218,573",10942.16,-2.03
2020-05-28,5239764437,173084681796,"1,498,455",10944.19,-70.47
2020-05-27,4721324227,157944246242,"1,376,696",11014.66,17.45
2020-05-26,5106168038,182416463343,"1,498,204",10997.21,126.03
2020-05-25,4139816654,148792998499,"1,207,831",10871.18,60.03
2020-05-22,5054277645,178399370544,"1,527,217",10811.15,-197.16
2020-05-21,4885891165,172218053521,"1,390,386",11008.31,100.51
2020-05-20,4509534398,172537826062,"1,375,269",10907.8,47.36
2020-05-19,5142779078,189282766550,"1,501,409",10860.44,119.89
2020-05-18,4741087880,195170626320,"1,403,818",10740.55,-74.37
2020-05-15,4835287814,176429392231,"1,376,021",10814.92,34.04
2020-05-14,5561899832,188103842946,"1,593,373",10780.88,-157.39
2020-05-13,4751016651,168204611361,"1,350,741",10938.27,58.8
2020-05-12,5014964552,174437565850,"1,475,993",10879.47,-133.79
2020-05-11,5458626713,169831280692,"1,532,061",11013.26,111.84
2020-05-08,5098107890,187830439900,"1,527,810",10901.42,58.5
2020-05-07,4780230104,168677762728,"1,405,855",10842.92,67.94
2020-05-06,5314704402,182668855857,"1,558,535",10774.98,0.37
2020-05-05,4705783752,179302767364,"1,418,246",10774.61,54.13
2020-05-04,5765177939,191090738853,"1,556,445",10720.48,-271.66
2020-04-30,6546009430,231771127536,"1,817,454",10992.14,219.92
2020-04-29,5678828844,194424601104,"1,615,692",10772.22,156.16
2020-04-28,5400871093,183487725571,"1,509,181",10616.06,48.79
2020-04-27,5540788868,178798337616,"1,483,642",10567.27,219.91
2020-04-24,4052771112,126359985757,"1,153,370",10347.36,-19.15
2020-04-23,4677068582,155989400936,"1,298,847",10366.51,58.77
2020-04-22,5260027532,153403171006,"1,411,104",10307.74,19.32
2020-04-21,5920573446,184801965082,"1,764,176",10288.42,-298.29
2020-04-20,3968793048,136536624226,"1,157,182",10586.71,-10.33
2020-04-17,6364036089,233224931821,"1,778,080",10597.04,221.56
2020-04-16,4829966706,157665481086,"1,405,562",10375.48,-71.73
2020-04-15,5647516921,194914556974,"1,691,599",10447.21,114.27
2020-04-14,5363296926,158014679176,"1,419,673",10332.94,233.72
2020-04-13,4698370748,118924338183,"1,251,059",10099.22,-58.39
2020-04-10,4155990176,122337105654,"1,167,379",10157.61,38.18
2020-04-09,5230196805,165338167106,"1,526,083",10119.43,-18.04
2020-04-08,5578131903,170685529067,"1,610,057",10137.47,141.08
2020-04-07,5596397343,174156363686,"1,569,883",9996.39,177.65
2020-04-06,5242549478,153193812291,"1,384,304",9818.74,155.11
2020-04-01,4180562164,120542519492,"1,142,447",9663.63,-44.43
2020-03-31,4717261406,147168293708,"1,256,288",9708.06,78.63
2020-03-30,4555523146,126618857851,"1,157,623",9629.43,-69.49
2020-03-27,5715888822,181693587614,"1,588,397",9698.92,-37.44
2020-03-26,4963011536,154234507199,"1,387,294",9736.36,91.61
2020-03-25,6311030678,184585853741,"1,663,336",9644.75,359.13
2020-03-24,5685711161,154892630561,"1,438,525",9285.62,395.59
2020-03-23,5434939207,154051713864,"1,428,693",8890.03,-344.06
2020-03-20,8313012267,237073888634,"2,030,577",9234.09,552.75
2020-03-19,10417337257,271179217853,"2,559,042",8681.34,-537.33
2020-03-18,7506547959,212304696289,"2,011,362",9218.67,-220.96
2020-03-17,8206236082,237969022384,"2,123,143",9439.63,-278.14
2020-03-16,7645539728,211160705753,"1,921,186",9717.77,-411.1
2020-03-13,11980302682,303651583716,"2,607,692",10128.87,-293.45
2020-03-12,10401683029,271170545930,"2,387,131",10422.32,-471.43
2020-03-11,7389097374,177658190103,"1,537,557",10893.75,-109.79
2020-03-10,8600866018,207753829399,"1,792,581",11003.54,25.9
2020-03-09,9368411895,232670776025,"2,154,691",10977.64,-344.17
2020-03-06,5659175395,151478312495,"1,356,083",11321.81,-193.01
2020-03-05,5060603723,145957940886,"1,156,055",11514.82,122.47
2020-03-04,5039075843,140735268363,"1,082,165",11392.35,64.63
2020-03-03,6007281977,165018977287,"1,313,756",11327.72,157.26
2020-03-02,7284842170,203206893520,"1,634,226",11170.46,-121.71
2020-02-27,7211740462,203459785605,"1,604,650",11292.17,-141.45
2020-02-26,6218057244,177077021788,"1,319,355",11433.62,-106.61
2020-02-25,5387661535,155487337664,"1,197,950",11540.23,5.36
2020-02-24,5394033615,140297223193,"1,196,934",11534.87,-151.48
2020-02-21,4500184633,124945301540,"1,028,044",11686.35,-38.74
2020-02-20,4743317723,135314329061,"1,074,696",11725.09,-33.75
2020-02-19,4774544232,141749977953,"1,094,355",11758.84,109.86
2020-02-18,4315111980,141306676135,"1,009,270",11648.98,-114.53
2020-02-17,4165125205,116030224205,"967,877",11763.51,-52.19
2020-02-14,3926585866,113097286395,"924,818",11815.7,23.92
2020-02-13,4996699902,141066311811,"1,142,029",11791.78,17.59
2020-02-12,4891074264,150442446139,"1,113,574",11774.19,110.15
2020-02-11,4548297802,123195472867,"949,833",11664.04,89.97
2020-02-10,4891318956,132002862933,"1,077,815",11574.07,-38.74
2020-02-07,4677911356,129883684984,"1,100,135",11612.81,-136.87
2020-02-06,5395679056,144678569993,"1,110,765",11749.68,176.06
2020-02-05,5469767866,158156237360,"1,257,448",11573.62,17.7
2020-02-04,5734166171,161727671957,"1,276,175",11555.92,201.0
2020-02-03,7052356044,184492196068,"1,540,915",11354.92,-140.18
2020-01-31,5699273535,176694486433,"1,379,131",11495.1,73.36
2020-01-30,8369093057,277631291432,"2,091,196",11421.74,-696.97
