日期,指數,量,5ma趨勢,20ma趨勢,均差,上市多頭家數,上市空頭家數,上櫃多頭家數,上櫃空頭家數,外資買超,op OI,匯率,特殊信號,上市強勢主流,上櫃強勢主流,上市弱勢主流,上櫃弱勢主流,買權留倉最大量,買權留倉次量,賣權留倉最大量,賣權留倉次量,買權留倉增加最多,賣權留倉增加最多,多頭家數,空頭家數
2020-08-27,12797.31,2166.29000442,0.6876694276065987,0.029186912414278406,-18.680999999998676,357.0,200.5,198.5,207.5,-77,132.09,29.351,出貨日,[],['其他電子類(1.29)'],"['造紙工業(-1.76)', '橡膠工業(-1.35)', '航運業(-1.29)', '紡織纖維(-1.15)']",['紡織纖維(-1.10)'], 14800  11357(   111), 13300   9083(   168), 12500  11786(  2056), 11500  11142(   147), 13500   6497(  1256), 12500  11786(  2056),182,98
2020-08-26,12833.29,1766.2798655000001,0.08653381785939328,0.1148234289287871,-101.89549999999143,204.5,339.5,132.0,347.5,17,139.5,29.355999999999998,,"['造紙工業(3.59)', '生技醫療業(1.53)', '半導體業(1.24)', '航運業(1.05)', '化學生技醫療(1.02)']","['生技醫療類(3.80)', '紡織纖維(1.48)', '半導體類(1.20)']",[],[], 14800  11246(   130), 13300   8915(   558), 11500  10995(   -93), 12000  10960(   697), 13700   2974(   678), 12500   9730(  1551),218,77
2020-08-25,12758.25,1989.84271183,-0.18001090275886772,0.06741855599058885,-98.20949999999355,206.0,374.0,126.5,376.5,34,129.56,29.361,,"['航運業(3.26)', '油電燃氣業(1.59)', '電腦及週邊設備業(1.39)', '貿易百貨(1.34)', '半導體業(1.32)', '建材營造(1.12)', '觀光事業(1.01)']","['線上遊戲業(5.80)', '文化創意業(4.36)', '光電業類(3.24)', '航運業(2.34)', '電腦及週邊類(1.87)', '電子零組件類(1.65)', '其他電子類(1.51)', '電子工業(1.50)', '半導體類(1.27)']",['汽車工業(-1.12)'],[], 14800  11116(    14), 13000   8406(   490), 11500  11088(    53), 12000  10263(   481), 13100   6110(  1093), 12500   8179(  2159),197,63
2020-08-24,12647.13,2048.61806934,-0.4859905340532353,0.02312937858046552,-66.85549999999603,250.0,342.5,146.5,352.5,-8,115.59,29.373,,"['資訊服務業(2.69)', '電機機械(1.27)', '光電業(1.14)', '生技醫療業(1.01)']","['資訊服務類(2.59)', '半導體類(1.73)', '電腦及週邊類(1.61)', '電子工業(1.31)', '其他電子類(1.03)']",['油電燃氣業(-1.1)'],[], 14800  11102(   287), 13000   7916(   533), 11500  11035(   260), 12000   9782(   704), 13300   7541(   550), 12500   6020(  1089),160,102
2020-08-21,12607.84,2256.69198415,-0.294236696343867,0.11958368188944653,-2.117999999996755,333.0,285.0,170.5,318.5,56,108.43,29.381,,"['汽車工業(4.26)', '橡膠工業(3.18)', '電器電纜(2.73)', '電子零組件業(2.66)', '其他電子業(2.52)', '半導體業(2.45)', '資訊服務業(2.37)', '其他(2.33)', '生技醫療業(2.16)', '建材營造(2.03)', '水泥工業(1.99)', '電機機械(1.95)', '化學生技醫療(1.88)', '鋼鐵工業(1.79)', '紡織纖維(1.77)', '油電燃氣業(1.73)', '光電業(1.66)', '塑膠工業(1.61)', '化學工業(1.6)', '觀光事業(1.41)', '航運業(1.4)', '電腦及週邊設備業(1.35)', '造紙工業(1.32)', '通信網路業(1.06)', '金融保險(1.05)']","['線上遊戲業(7.09)', '文化創意業(5.52)', '通信網路業(3.01)', '半導體類(2.84)', '化學工業(2.81)', '資訊服務類(2.76)', '電腦及週邊類(2.65)', '電子工業(2.62)', '電子零組件類(2.52)', '其他(2.37)', '其他電子類(2.11)', '電機機械(1.88)', '航運業(1.54)', '生技醫療類(1.49)', '電子通路類(1.45)', '光電業類(1.42)', '觀光事業(1.29)', '紡織纖維(1.10)', '建材營造(1.06)']",[],[], 14800  10815(    42), 13000   7383(   846), 11500  10775(  1128), 12000   9078(  1644), 13000   7383(   846), 12000   9078(  1644),140,83
2020-08-20,12362.64,3477.95318807,-0.6241518024956577,-0.019834832516094445,50.59600000000136,335.5,273.5,167.5,301.5,-132,90.08,29.4,出貨日,[],[],"['玻璃陶瓷(-6.93)', '電子零組件業(-6.11)', '光電業(-5.6)', '造紙工業(-4.51)', '汽車工業(-4.24)', '生技醫療業(-4.13)', '電機機械(-4.0)', '化學生技醫療(-3.74)', '電腦及週邊設備業(-3.57)', '半導體業(-3.47)', '資訊服務業(-3.42)', '化學工業(-3.36)', '觀光事業(-3.27)', '其他(-3.23)', '其他電子業(-3.05)', '橡膠工業(-2.78)', '電子通路業(-2.73)', '塑膠工業(-2.69)', '航運業(-2.67)', '建材營造(-2.64)', '紡織纖維(-2.63)', '油電燃氣業(-2.53)', '電器電纜(-2.37)', '鋼鐵工業(-2.22)', '金融保險(-2.1)', '水泥工業(-2.05)', '貿易百貨(-1.86)', '食品工業(-1.79)', '通信網路業(-1.38)']","['線上遊戲業(-6.24)', '生技醫療類(-5.69)', '半導體類(-5.64)', '通信網路業(-5.58)', '電子工業(-5.16)', '文化創意業(-5.15)', '其他電子類(-4.91)', '電子通路類(-4.75)', '電子零組件類(-4.69)', '資訊服務類(-4.57)', '光電業類(-4.09)', '電腦及週邊類(-4.09)', '化學工業(-3.70)', '觀光事業(-2.89)', '電機機械(-2.82)', '航運業(-2.70)', '紡織纖維(-2.60)', '其他(-2.41)', '建材營造(-1.86)']", 14800  10773(   205), 13300   6786(     0), 11500   9647(  2901), 12000   7434(   177), 12800   5587(  3397), 11500   9647(  2901),42,641
2020-08-19,12778.64,2545.8242262,0.16905206113474108,0.1203224343359884,128.1739999999991,466.5,168.0,246.0,221.5,-6,125.76,29.39,出貨日,"['造紙工業(2.5)', '玻璃陶瓷(1.89)', '貿易百貨(1.58)']",['生技醫療類(2.57)'],"['汽車工業(-1.33)', '半導體業(-1.29)', '塑膠工業(-1.21)', '油電燃氣業(-1.19)', '電機機械(-1.14)']","['光電業類(-2.18)', '航運業(-1.69)', '線上遊戲業(-1.63)', '通信網路業(-1.61)', '文化創意業(-1.33)', '半導體類(-1.31)', '電子工業(-1.09)', '電子通路類(-1.06)']", 14800  10568( 10560), 13300   6786( -1080), 12000   7257( -2128), 11500   6746(  -746), 14800  10568( 10560),  6800   4339(  4339),230,199
2020-08-18,12872.14,2472.67898972,0.14374994919114992,0.1873491424707701,121.78450000000156,443.5,174.0,235.5,232.0,-29,134.52,29.4,出貨日,"['玻璃陶瓷(8.48)', '電機機械(1.7)', '生技醫療業(1.56)', '水泥工業(1.45)', '電器電纜(1.13)', '化學生技醫療(1.04)']","['生技醫療類(2.88)', '航運業(1.66)', '線上遊戲業(1.57)', '文化創意業(1.17)', '電腦及週邊類(1.02)']","['光電業(-2.79)', '造紙工業(-1.65)', '半導體業(-1.52)']","['半導體類(-2.25)', '光電業類(-1.59)', '電子工業(-1.30)']", 13000  23178(  5621), 13100  17618(   589), 12750  15564(  5325), 12700  15272(   602), 13000  23178(  5621), 12850  15142(  6993),281,144
2020-08-17,12956.11,2223.55243724,0.09719398721157056,0.3094874329459231,127.12400000000162,368.5,204.5,206.0,267.5,96,140.11,29.398000000000003,,"['造紙工業(2.79)', '電器電纜(2.71)', '電腦及週邊設備業(2.3)', '航運業(2.24)', '建材營造(2.07)', '油電燃氣業(1.8)', '水泥工業(1.71)', '紡織纖維(1.66)', '橡膠工業(1.65)', '食品工業(1.64)', '半導體業(1.6)', '其他(1.6)', '塑膠工業(1.45)', '化學工業(1.43)', '電機機械(1.41)', '化學生技醫療(1.16)', '鋼鐵工業(1.06)']","['紡織纖維(2.34)', '航運業(2.02)', '電子通路類(1.74)', '電子零組件類(1.67)', '線上遊戲業(1.33)', '其他(1.23)', '電腦及週邊類(1.21)']",[],[], 13000  17557( -2210), 13100  17029(  1904), 12500  15640(   159), 12300  14941( -1555), 12950   8878(  1959), 12850   8149(  7388),361,120
2020-08-14,12795.46,2134.11307786,-0.05225493903798109,0.2436855609180085,153.78050000000619,338.5,221.5,204.5,276.0,39,122.23,29.412,,"['造紙工業(3.56)', '航運業(3.36)', '水泥工業(2.76)', '電腦及週邊設備業(2.26)', '橡膠工業(2.17)', '玻璃陶瓷(2.11)', '電子零組件業(1.61)', '光電業(1.6)', '生技醫療業(1.1)']","['電子通路類(2.42)', '化學工業(1.83)', '其他電子類(1.53)', '線上遊戲業(1.49)', '半導體類(1.32)', '資訊服務類(1.25)', '電子零組件類(1.16)', '電子工業(1.15)', '生技醫療類(1.03)']",[],[], 13000  19767(  2856), 12900  16275(  -384), 12300  16496(  1251), 12500  15481(  2903), 12650   5403(  3502), 12650   8956(  5240),216,131
2020-08-13,12763.13,2369.9431216,-0.23463449868310626,0.2408864129781297,191.15750000000665,322.5,237.5,199.5,259.0,69,117.16,29.41,多頭k,"['橡膠工業(2.11)', '半導體業(1.78)', '觀光事業(1.77)', '電腦及週邊設備業(1.43)', '汽車工業(1.39)', '資訊服務業(1.22)']","['光電業類(3.12)', '通信網路業(1.03)']","['其他電子業(-1.82)', '玻璃陶瓷(-1.45)']","['生技醫療類(-2.19)', '線上遊戲業(-1.26)', '文化創意業(-1.13)']", 13000  16911(  3359), 12900  16659(  3084), 12300  15245(   221), 12500  12578(  5642), 13050   8130(  4897), 12500  12578(  5642),169,195
2020-08-12,12670.35,2168.00780143,-0.20546923442738949,0.1863662652423541,251.5010000000057,310.5,231.5,205.0,247.5,-106,121.36,29.41,出貨日,['其他電子業(1.21)'],"['生技醫療類(2.24)', '紡織纖維(2.03)', '線上遊戲業(1.85)', '航運業(1.48)', '文化創意業(1.38)', '資訊服務類(1.23)']","['玻璃陶瓷(-5.0)', '水泥工業(-4.41)', '汽車工業(-2.85)', '半導體業(-2.2)', '資訊服務業(-1.16)']",['化學工業(-1.19)'], 12900  13575(  3582), 13000  13552(  3220), 12300  15024(  3250), 12100  11304(  1324), 12900  13575(  3582), 12300  15024(  3250),139,225
2020-08-11,12780.19,2063.5905904,0.1095425480123576,0.2282173641937361,301.2660000000052,324.0,168.5,216.0,207.0,-50,122.95,29.395,,"['玻璃陶瓷(7.6)', '橡膠工業(1.46)', '觀光事業(1.16)']",['航運業(1.22)'],"['生技醫療業(-2.1)', '光電業(-1.92)', '化學生技醫療(-1.59)', '半導體業(-1.38)', '電器電纜(-1.27)', '汽車工業(-1.17)', '化學工業(-1.11)', '電腦及週邊設備業(-1.07)', '其他電子業(-1.05)']","['線上遊戲業(-2.26)', '化學工業(-1.90)', '電子零組件類(-1.85)', '生技醫療類(-1.78)', '通信網路業(-1.68)', '其他電子類(-1.66)', '文化創意業(-1.50)']", 13000  10332(  1188), 12900   9993(  1500), 12300  11774(  2434), 12100   9980(    36), 12900   9993(  1500), 12300  11774(  2434),151,206
